time,open,high,low,close,tick_volume,spread,real_volume
1654160400,112200.0,112595.0,111905.0,112455.0,301402,5,732037
1654162200,112455.0,112670.0,112365.0,112650.0,209857,5,627971
1654164000,112645.0,113030.0,112570.0,112875.0,469542,5,1495459
1654165800,112870.0,112965.0,111765.0,111945.0,554164,5,1716439
1654167600,111945.0,112295.0,111525.0,111670.0,464237,5,1420397
1654169400,111670.0,112005.0,111630.0,111900.0,326510,5,1010069
1654171200,111900.0,112465.0,111865.0,112460.0,281465,5,919348
1654173000,112460.0,112780.0,112375.0,112695.0,223026,5,749788
1654174800,112695.0,112940.0,112625.0,112930.0,171341,5,583639
1654176600,112935.0,113130.0,112920.0,113095.0,178204,5,638489
1654178400,113095.0,113105.0,112860.0,113005.0,164164,5,555760
1654180200,113005.0,113175.0,112920.0,113125.0,174737,5,613026
1654182000,113125.0,113210.0,112925.0,113015.0,179863,5,630734
1654183800,113020.0,113055.0,112870.0,112905.0,111673,5,386986
1654185600,112905.0,112925.0,112685.0,112710.0,195726,5,691030
1654187400,112710.0,112905.0,112650.0,112830.0,169889,5,609827
1654189200,112825.0,112830.0,112490.0,112665.0,140298,5,468774
1654191000,112665.0,112910.0,112650.0,112865.0,76200,5,241551
1654246800,112230.0,112395.0,111800.0,112010.0,324474,5,845457
1654248600,112010.0,112190.0,111770.0,112040.0,318102,5,886295
1654250400,112040.0,112310.0,111665.0,111695.0,486493,5,1469836
1654252200,111695.0,112085.0,111535.0,112080.0,526504,5,1564016
1654254000,112075.0,112200.0,111770.0,111945.0,422570,5,1267918
1654255800,111945.0,111980.0,111605.0,111705.0,304434,5,921698
1654257600,111700.0,111715.0,111235.0,111560.0,294702,5,969955
1654259400,111565.0,111760.0,111465.0,111690.0,208120,5,661711
1654261200,111695.0,111880.0,111605.0,111760.0,208819,5,672886
1654263000,111760.0,111935.0,111630.0,111875.0,198441,5,635349
1654264800,111875.0,112035.0,111590.0,111740.0,241654,5,800674
1654266600,111745.0,111780.0,111475.0,111520.0,197437,5,653632
1654268400,111525.0,111645.0,111360.0,111495.0,223864,5,743445
1654270200,111490.0,111535.0,111315.0,111525.0,169748,5,548886
1654272000,111525.0,111645.0,111395.0,111635.0,175639,5,590646
1654273800,111635.0,111715.0,111410.0,111505.0,198631,5,669982
1654275600,111510.0,111630.0,111385.0,111620.0,94781,5,335033
1654277400,111615.0,111750.0,111545.0,111750.0,66716,5,212461
1654506000,112565.0,112735.0,112300.0,112345.0,252690,5,675313
1654507800,112340.0,112370.0,112060.0,112115.0,169659,5,554377
1654509600,112115.0,112195.0,111880.0,112040.0,331798,5,1034299
1654511400,112035.0,112310.0,111645.0,111885.0,541910,5,1676051
1654513200,111885.0,111985.0,111155.0,111290.0,401366,5,1262155
1654515000,111290.0,111325.0,110740.0,111005.0,335949,5,1095498
1654516800,111010.0,111100.0,110630.0,110890.0,290040,5,950756
1654518600,110890.0,111035.0,110795.0,110910.0,168301,5,544051
1654520400,110910.0,110925.0,110320.0,110400.0,256985,5,873932
1654522200,110405.0,110570.0,110255.0,110530.0,180748,5,606507
1654524000,110530.0,110535.0,110350.0,110510.0,152756,5,517509
1654525800,110515.0,110895.0,110495.0,110890.0,207978,5,738074
1654527600,110890.0,110915.0,110420.0,110465.0,214611,5,790967
1654529400,110470.0,110595.0,110275.0,110495.0,243941,5,851702
1654531200,110495.0,110615.0,110370.0,110455.0,191383,5,655089
1654533000,110460.0,110585.0,110420.0,110535.0,160699,5,580198
1654534800,110535.0,110600.0,110470.0,110595.0,73483,5,268894
