timeframe,interpretation,hour,rows,spread_mean,spread_p95,tick_volume_mean,real_volume_zero_pct
D1,utc_to_market,21,997,4.995,5.0,4678315.4493,0.0
D1,raw_clock,0,997,4.995,5.0,4678315.4493,0.0
H4,utc_to_market,5,993,4.995,5.0,2459907.2226,0.0
H4,utc_to_market,9,997,4.995,5.0,1624227.676,0.0
H4,utc_to_market,13,997,4.995,5.0,604049.7874,0.0
H4,raw_clock,8,993,4.995,5.0,2459907.2226,0.0
H4,raw_clock,12,997,4.995,5.0,1624227.676,0.0
H4,raw_clock,16,997,4.995,5.0,604049.7874,0.0
H1,utc_to_market,6,993,4.995,5.0,733233.3797,0.0
H1,utc_to_market,7,993,4.995,5.0,989678.0514,0.0
H1,utc_to_market,8,993,4.995,5.0,736995.7915,0.0
H1,utc_to_market,9,993,4.995,5.0,486985.2487,0.0
H1,utc_to_market,10,997,4.995,5.0,376098.2999,0.0
H1,utc_to_market,11,997,4.995,5.0,383565.335,0.0
H1,utc_to_market,12,997,4.995,5.0,379532.5948,0.0
H1,utc_to_market,13,997,4.995,5.0,341468.2518,0.0
H1,utc_to_market,14,997,4.995,5.0,218873.6941,0.0
H1,utc_to_market,15,726,4.9931,5.0,60023.0275,0.0
H1,raw_clock,9,993,4.995,5.0,733233.3797,0.0
H1,raw_clock,10,993,4.995,5.0,989678.0514,0.0
H1,raw_clock,11,993,4.995,5.0,736995.7915,0.0
H1,raw_clock,12,993,4.995,5.0,486985.2487,0.0
H1,raw_clock,13,997,4.995,5.0,376098.2999,0.0
H1,raw_clock,14,997,4.995,5.0,383565.335,0.0
H1,raw_clock,15,997,4.995,5.0,379532.5948,0.0
H1,raw_clock,16,997,4.995,5.0,341468.2518,0.0
H1,raw_clock,17,997,4.995,5.0,218873.6941,0.0
H1,raw_clock,18,726,4.9931,5.0,60023.0275,0.0
M30,utc_to_market,6,1985,4.995,5.0,366801.3834,0.0
M30,utc_to_market,7,1986,4.995,5.0,494839.0257,0.0
M30,utc_to_market,8,1986,4.995,5.0,368497.8958,0.0
M30,utc_to_market,9,1986,4.995,5.0,243492.6244,0.0
M30,utc_to_market,10,1994,4.995,5.0,188049.1499,0.0
M30,utc_to_market,11,1994,4.995,5.0,191782.6675,0.0
M30,utc_to_market,12,1994,4.995,5.0,189766.2974,0.0
M30,utc_to_market,13,1994,4.995,5.0,170734.1259,0.0
M30,utc_to_market,14,1994,4.995,5.0,109436.847,0.0
M30,utc_to_market,15,727,4.9862,5.0,59940.4649,0.0
M30,raw_clock,9,1985,4.995,5.0,366801.3834,0.0
M30,raw_clock,10,1986,4.995,5.0,494839.0257,0.0
M30,raw_clock,11,1986,4.995,5.0,368497.8958,0.0
M30,raw_clock,12,1986,4.995,5.0,243492.6244,0.0
M30,raw_clock,13,1994,4.995,5.0,188049.1499,0.0
M30,raw_clock,14,1994,4.995,5.0,191782.6675,0.0
M30,raw_clock,15,1994,4.995,5.0,189766.2974,0.0
M30,raw_clock,16,1994,4.995,5.0,170734.1259,0.0
M30,raw_clock,17,1994,4.995,5.0,109436.847,0.0
M30,raw_clock,18,727,4.9862,5.0,59940.4649,0.0
M15,utc_to_market,6,3968,4.995,5.0,183493.1316,0.0
M15,utc_to_market,7,3971,4.995,5.0,247481.8194,0.0
M15,utc_to_market,8,3972,4.995,5.0,184248.9479,0.0
M15,utc_to_market,9,3972,4.995,5.0,121746.3122,0.0
M15,utc_to_market,10,3988,4.995,5.0,94024.575,0.0
M15,utc_to_market,11,3988,4.995,5.0,95891.3338,0.0
M15,utc_to_market,12,3988,4.995,5.0,94883.1487,0.0
M15,utc_to_market,13,3988,4.995,5.0,85367.0629,0.0
M15,utc_to_market,14,3988,4.995,5.0,54718.4235,0.0
M15,utc_to_market,15,1453,4.9897,5.0,29990.8589,0.0
M15,raw_clock,9,3968,4.995,5.0,183493.1316,0.0
M15,raw_clock,10,3971,4.995,5.0,247481.8194,0.0
M15,raw_clock,11,3972,4.995,5.0,184248.9479,0.0
M15,raw_clock,12,3972,4.995,5.0,121746.3122,0.0
M15,raw_clock,13,3988,4.995,5.0,94024.575,0.0
M15,raw_clock,14,3988,4.995,5.0,95891.3338,0.0
M15,raw_clock,15,3988,4.995,5.0,94883.1487,0.0
M15,raw_clock,16,3988,4.995,5.0,85367.0629,0.0
M15,raw_clock,17,3988,4.995,5.0,54718.4235,0.0
M15,raw_clock,18,1453,4.9897,5.0,29990.8589,0.0
M5,utc_to_market,6,10668,4.9944,5.0,61607.847,0.0
M5,utc_to_market,7,10699,4.9944,5.0,81501.4809,0.0
M5,utc_to_market,8,10704,4.9944,5.0,60556.831,0.0
M5,utc_to_market,9,10704,4.9944,5.0,40183.7379,0.0
M5,utc_to_market,10,10752,4.9944,5.0,30932.0859,0.0
M5,utc_to_market,11,10752,4.9944,5.0,31450.7943,0.0
M5,utc_to_market,12,10752,4.9944,5.0,30660.1935,0.0
M5,utc_to_market,13,10752,4.9944,5.0,27519.4814,0.0
M5,utc_to_market,14,10583,4.9943,5.0,18742.4523,0.0
M5,utc_to_market,15,3634,4.9917,5.0,11991.3919,0.0
M5,raw_clock,9,10668,4.9944,5.0,61607.847,0.0
M5,raw_clock,10,10699,4.9944,5.0,81501.4809,0.0
M5,raw_clock,11,10704,4.9944,5.0,60556.831,0.0
M5,raw_clock,12,10704,4.9944,5.0,40183.7379,0.0
M5,raw_clock,13,10752,4.9944,5.0,30932.0859,0.0
M5,raw_clock,14,10752,4.9944,5.0,31450.7943,0.0
M5,raw_clock,15,10752,4.9944,5.0,30660.1935,0.0
M5,raw_clock,16,10752,4.9944,5.0,27519.4814,0.0
M5,raw_clock,17,10583,4.9943,5.0,18742.4523,0.0
M5,raw_clock,18,3634,4.9917,5.0,11991.3919,0.0
